case_id,case_name,category,gate,validation,total_score,customer_ready_score,review_required_reason,required_confirmation_items,pre_submission_fixes,estimated_fix_time,auto_fix_possible,human_review_required,reason_classification
case_01,コーポレートサイトリニューアル,corporate_site_renewal,REVIEW_REQUIRED,REVIEW_REQUIRED,72,78,"Total score 78: no release-blocking issue, but sales review is recommended before submission. / proposal story is 66; strengthen it before submission. / visual structure is 69; strengthen it before submission.",KPI??????????????????????????,Executive Summary?? / ???????????????????? / ROI?KPI??????????? / ??????????????,30-45?,???,??,ACDE
case_02,採用サイト制作,recruiting_site,REVIEW_REQUIRED,REVIEW_REQUIRED,71,78,"Total score 78: no release-blocking issue, but sales review is recommended before submission. / proposal story is 66; strengthen it before submission. / visual structure is 69; strengthen it before submission.",KPI??????????????????????????,Executive Summary?? / ???????????????????? / ROI?KPI??????????? / ??????????????,45-60?,???,??,ACDE
case_03,ECサイト改善,ec_improvement,REVIEW_REQUIRED,REVIEW_REQUIRED,72,78,"Total score 78: no release-blocking issue, but sales review is recommended before submission. / proposal story is 66; strengthen it before submission. / visual structure is 69; strengthen it before submission.",KPI??????????????????????????,Executive Summary?? / ???????????????????? / ROI?KPI??????????? / ??????????????,30-45?,???,??,ACDE
case_04,Webマーケティング支援,web_marketing,REVIEW_REQUIRED,REVIEW_REQUIRED,71,78,"Total score 78: no release-blocking issue, but sales review is recommended before submission. / proposal story is 66; strengthen it before submission. / visual structure is 69; strengthen it before submission.",KPI??????????????????????????,Executive Summary?? / ???????????????????? / ROI?KPI??????????? / ??????????????,45-60?,???,??,ACDE
case_05,AI-OCR導入,ai_ocr,REVIEW_REQUIRED,REVIEW_REQUIRED,72,79,"Total score 79: no release-blocking issue, but sales review is recommended before submission. / proposal story is 66; strengthen it before submission. / visual structure is 70; strengthen it before submission.",KPI??????????????????????????,Executive Summary?? / ???????????????????? / ROI?KPI??????????? / ??????????????,30-45?,???,??,ACDE
case_06,社内生成AI導入,internal_genai,REVIEW_REQUIRED,REVIEW_REQUIRED,71,78,"Total score 78: no release-blocking issue, but sales review is recommended before submission. / proposal story is 66; strengthen it before submission. / visual structure is 69; strengthen it before submission.",KPI??????????????????????????,Executive Summary?? / ???????????????????? / ROI?KPI??????????? / ??????????????,45-60?,???,??,ACDE
case_07,営業DX,sales_dx,REVIEW_REQUIRED,REVIEW_REQUIRED,72,78,"Total score 78: no release-blocking issue, but sales review is recommended before submission. / proposal story is 66; strengthen it before submission. / visual structure is 69; strengthen it before submission.",KPI??????????????????????????,Executive Summary?? / ???????????????????? / ROI?KPI??????????? / ??????????????,30-45?,???,??,ACDE
case_08,製造業DX,manufacturing_dx,REVIEW_REQUIRED,REVIEW_REQUIRED,72,79,"Total score 79: no release-blocking issue, but sales review is recommended before submission. / proposal story is 66; strengthen it before submission. / visual structure is 70; strengthen it before submission.",KPI??????????????????????????,Executive Summary?? / ???????????????????? / ROI?KPI??????????? / ??????????????,30-45?,???,??,ACDE
case_09,建設業の業務効率化,construction_efficiency,REVIEW_REQUIRED,REVIEW_REQUIRED,71,78,"Total score 78: no release-blocking issue, but sales review is recommended before submission. / proposal story is 66; strengthen it before submission. / visual structure is 69; strengthen it before submission.",KPI??????????????????????????,Executive Summary?? / ???????????????????? / ROI?KPI??????????? / ??????????????,45-60?,???,??,ACDE
case_10,物流最適化,logistics_optimization,REVIEW_REQUIRED,REVIEW_REQUIRED,71,78,"Total score 78: no release-blocking issue, but sales review is recommended before submission. / proposal story is 66; strengthen it before submission. / visual structure is 69; strengthen it before submission.",KPI??????????????????????????,Executive Summary?? / ???????????????????? / ROI?KPI??????????? / ??????????????,45-60?,???,??,ACDE
case_11,医療機関の予約改善,medical_reservation,REVIEW_REQUIRED,REVIEW_REQUIRED,71,78,"Total score 78: no release-blocking issue, but sales review is recommended before submission. / proposal story is 66; strengthen it before submission. / visual structure is 69; strengthen it before submission.",KPI??????????????????????????,Executive Summary?? / ???????????????????? / ROI?KPI??????????? / ??????????????,45-60?,???,??,ACDE
case_12,教育機関の問い合わせ改善,education_inquiry,REVIEW_REQUIRED,REVIEW_REQUIRED,71,78,"Total score 78: no release-blocking issue, but sales review is recommended before submission. / proposal story is 66; strengthen it before submission. / visual structure is 69; strengthen it before submission.",KPI??????????????????????????,Executive Summary?? / ???????????????????? / ROI?KPI??????????? / ??????????????,45-60?,???,??,ACDE
case_13,自治体DX,municipality_dx,REVIEW_REQUIRED,REVIEW_REQUIRED,71,78,"Total score 78: no release-blocking issue, but sales review is recommended before submission. / proposal story is 66; strengthen it before submission. / visual structure is 69; strengthen it before submission.",KPI??????????????????????????,Executive Summary?? / ???????????????????? / ROI?KPI??????????? / ??????????????,45-60?,???,??,ACDE
case_14,SaaS開発,saas_development,REVIEW_REQUIRED,REVIEW_REQUIRED,71,78,"Total score 78: no release-blocking issue, but sales review is recommended before submission. / proposal story is 66; strengthen it before submission. / visual structure is 69; strengthen it before submission.",KPI??????????????????????????,Executive Summary?? / ???????????????????? / ROI?KPI??????????? / ??????????????,45-60?,???,??,ACDE
case_15,不動産集客,real_estate_acquisition,REVIEW_REQUIRED,REVIEW_REQUIRED,71,78,"Total score 78: no release-blocking issue, but sales review is recommended before submission. / proposal story is 66; strengthen it before submission. / visual structure is 69; strengthen it before submission.",KPI??????????????????????????,Executive Summary?? / ???????????????????? / ROI?KPI??????????? / ??????????????,45-60?,???,??,ACDE
case_16,人材採用支援,recruiting_support,REVIEW_REQUIRED,REVIEW_REQUIRED,71,79,"Total score 79: no release-blocking issue, but sales review is recommended before submission. / visual structure is 69; strengthen it before submission. / proposal story is 70; strengthen it before submission.",KPI??????????????????????????,Executive Summary?? / ???????????????????? / ROI?KPI??????????? / ??????????????,45-60?,???,??,ACDE
case_17,小売店舗DX,retail_dx,REVIEW_REQUIRED,REVIEW_REQUIRED,71,78,"Total score 78: no release-blocking issue, but sales review is recommended before submission. / proposal story is 66; strengthen it before submission. / visual structure is 69; strengthen it before submission.",KPI??????????????????????????,Executive Summary?? / ???????????????????? / ROI?KPI??????????? / ??????????????,45-60?,???,??,ACDE
case_18,BtoBリード獲得,btob_lead_generation,REVIEW_REQUIRED,REVIEW_REQUIRED,72,78,"Total score 78: no release-blocking issue, but sales review is recommended before submission. / proposal story is 66; strengthen it before submission. / visual structure is 69; strengthen it before submission.",KPI??????????????????????????,Executive Summary?? / ???????????????????? / ROI?KPI??????????? / ??????????????,30-45?,???,??,ACDE
case_19,大企業向けシステム刷新,enterprise_system_refresh,REVIEW_REQUIRED,REVIEW_REQUIRED,71,78,"Total score 78: no release-blocking issue, but sales review is recommended before submission. / proposal story is 66; strengthen it before submission. / visual structure is 70; strengthen it before submission.",KPI??????????????????????????,Executive Summary?? / ???????????????????? / ROI?KPI??????????? / ??????????????,45-60?,???,??,ACDE
case_20,中小企業向け業務改善,smb_operational_improvement,REVIEW_REQUIRED,REVIEW_REQUIRED,71,78,"Total score 78: no release-blocking issue, but sales review is recommended before submission. / proposal story is 66; strengthen it before submission. / visual structure is 69; strengthen it before submission.",KPI??????????????????????????,Executive Summary?? / ???????????????????? / ROI?KPI??????????? / ??????????????,45-60?,???,??,ACDE
